quote,author,category
"No act of kindness, no matter how small, is ever wasted.",Aesop,"compassion, inspirational, kindness"
We hang the petty thieves and appoint the great ones to public office.,Aesop,humor
"...convinced that in trying to please all, he had pleased none, and had lost his ass into the bargain.",Aesop,philosophy
No one believes a liar even when he tells the truth,Aesop,"life-truths, wisdom"
"Once a wolf, always a wolf.","Aesop, Aesop's Fables",wisdom
"Betray a friend, and you'll often find you have ruined yourself.","Aesop, Aesop's Fables",life-lessons
Necessity is the mother of invention.,"Aesop, Aesop's Fables",life-lessons
"Use more caution the next time you make a reading selection. Books, you know, are a lot like people, and each and every one of us is ultimately judged by the company we keep","Ethan Russell Erway, Aesop Revisited: Book 1","books, reading"
Better beans and bacon in peace than cakes and ale in fear.,Aesop,"fear, peace"
"A doubtful friend is worse than a certain enemy. Let a man be one thing or the other, and we then know how to meet him.","Aesop, Aesop's Fables","disguise, double-talk, enemies, falsehood, friends, friendship, reliability"
"An Ass put on a Lion's skin and wentAbout the foreset with much merriment,Scaring the foolish beasts by brooks and rocks,Till at last he tried to scare the Fox. But Reynard, hearing from beneath the mane That Raucous voice so petulant and vain,Remarked. O' Ass, I too would run away,But that I know your old familiar bray'.That's just the way with asses, just the way.",Aesop,"humour, satire"
It is in vain to expect our prayers to be heard.,Aesop,"god, prayer, praying"
Never trust the advice of a man in difficulties.,Aesop,"despair, trust"
All men are more concerned to recover what they lose than to acquire what they lack.,"Aesop, Aesop's Fables","human-nature, loss"
Do not waste your pity on a scamp.,"Aesop, Aesop's Fables","compassion, justice"
Better poverty without a care than wealth with its many obligations.,"Aesop, Aesop's Fables","carelessness, obligations, poverty, wealth"
"The value is in the worth, not in the number.","Aesop, Aesop's Fables","number, value"
"I thought these grapes were ripe, but I see now they are quite sour.","Aesop, Aesop's Fables","attitude, defeat, self-delusion"
"Don't let your special character and values, the secret that you know and no one else does, the truth - don't let that get swallowed up by the great chewing complacency.",Aesop,"independent-thought, individuality, morals, self-expression, values"
"The Sun is bad enough even while he is single, drying up our marshes with his heat as he does. But what will become of us if he marries and and begets other suns?","Aesop, Aesop's Fables","energy, force, power"
"I don't mind having to die now, for I see that he is the cause of my death is about to share the same fate.","Aesop, Aesop's Fables","revenge, vengeance"
"United you will be more than a match for your enemies. But if you quarrel and separate, your weakness will put you at the mercy of those who attack you.","Aesop, Aesop's Fables","enemy, fight, team, union, unity"
Much wants more and loses all.,"Aesop, Aesop's Fables","greed, greediness"
He that always gives way to others will end in having no principles of his own. ,Aesop,principles
"Fine clothes may disguise, but silly words will disclose a fool","Aesop, Aesop's Fables","fashion, remaining-silent"
The haft of the arrow had been feathered with one of the eagles own plumes. We often give our enemies the means of our own destruction.,Aesop,"arrows, birds, enemies, feathers"
An oak and a reed were arguing about their strength. When a strong wind came up  the reed avoided being uprooted by bending and leaning with the gusts of wind. But the oak stood firm and was torn up by the roots.,Aesop,acceptance
It is easy to be brave from a safe distance.,Aesop,courage
Though this may be play to you  Tis death to us.,Aesop,death
Be content with your lot  one cannot be first in everything.,Aesop,forgiveness
Kindness affects more than severity.,Aesop,"helping, people"
The injury we do and the one we suffer are not weighed in the same scales.,Aesop,injury
Injuries may be forgiven  but not forgotten.,Aesop,"insults, calumny"
Our insignificance is often the cause of our safety.,Aesop,life
Plodding wins the race.,Aesop,"pressure, , diamonds, "
Plodding wins the race.,Aesop,"pressure, , diamonds, "
He that is discontented in one place will seldom be happy in another.,Aesop,side
It is vain to expect our prayers to be heard if we do not strive as well as pray.,Aesop,prayer
After the rain cometh the fair weather.,Aesop,rain
Plodding wins the race.,Aesop,success
We would often be sorry if our wishes were gratified.,Aesop,success
Little by little does the trick.,Aesop,time
"After all is said and done, more is said than done.",Aesop,"Done, Said, Than "
"United we stand, divided we fall.",Aesop,"Stand, Fall, Divided "
It is not only fine feathers that make fine birds.,Aesop,"Birds, Feathers, Fine "
A crust eaten in peace is better than a banquet partaken in anxiety.,Aesop,"Peace, Anxiety, Better "
Gratitude is the sign of noble souls.,Aesop,"Gratitude, Noble, Sign "
Example is the best precept.,Aesop,"Best, Precept, Example "
"A liar will not be believed, even when he speaks the truth.",Aesop,"Liar, Will, Even "
"Every truth has two sides; it is as well to look at both, before we commit ourselves to either.",Aesop,"Look, Two, Well "
"The level of our success is limited only by our imagination and no act of kindness, however small, is ever wasted.",Aesop,"Success, Kindness, Small "
Appearances are often deceiving.,Aesop,"Appearances, Deceiving "
"Please all, and you will please none.",Aesop,"You, Will, Please "
Better be wise by the misfortunes of others than by your own.,Aesop,"Wise, Better, Others "
Plodding wins the race.,Aesop,"Race, Wins, Plodding "
Gravitation is not responsible for people falling in love.,Albert Einstein,love
"When you trip over love, it is easy to get up. But when you fall in love, it is impossible to stand again.",Albert Einstein,love
Love is a better master than duty.,Albert Einstein,love
"No, this trick won't work... How on earth are you ever going to explain in terms of chemistry and physics so important a biological phenomenon as first love? ",Albert Einstein,"chemistry, first-love, love, physics"
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,"attributed-no-source, inspirational, life, live, miracle, miracles"
"Life is like riding a bicycle. To keep your balance, you must keep moving.",Albert Einstein,"life, simile"
"I speak to everyone in the same way, whether he is the garbage man or the president of the university.",Albert Einstein,"life, respect"
"We know from daily life that we exist for other people first of all, for whose smiles and well-being our own happiness depends.",Albert Einstein,"friendship, life, relationships"
The tragedy of life is what dies inside a man while he lives.,Albert Einstein,"inspirational, life"
"All religions, arts and sciences are branches of the same tree. All these aspirations are directed toward ennobling man's life, lifting it from the sphere of mere physical existence and leading the individual towards freedom."" (first published 1937)]","Albert Einstein, Out of My Later Years: The Scientist, Philosopher, and Man Portrayed Through His Own Words","arts, existence, freedom, life, purpose-of-life, religion, sciences"
Dancers are the athletes of God.,Albert Einstein,"albert, life"
"Life isn't worth living, unless it is lived for someone else.",Albert Einstein,"einstein, life"
I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,Albert Einstein,"1929, imagination, inspirational, viereck-interview"
You never fail until you stop trying.,Albert Einstein,inspirational
Imagination is everything. It is the preview of life's coming attractions.,Albert Einstein,"creativity, fantasy, imagination, inspirational"
I must be willing to give up what I am in order to become what I will be.,Albert Einstein,inspirational
"Once we accept our limits, we go beyond them.",Albert Einstein,"inspirational, self-improvement, self-knowledge"
Only those who attempt the absurd can achieve the impossible.,Albert Einstein,"achievement, inspirational, optimism"
Do not worry about your difficulties in Mathematics. I can assure you mine are still greater.,Albert Einstein,inspirational
Intellectual growth should commence at birth and cease only at death.,Albert Einstein,"inspirational, lifelong-learning"
God is subtle but he is not malicious.,Albert Einstein,inspirational
"Everything is determined, the beginning as well as the end, by forces over which we have no control. It is determined for the insect, as well as for the star. Human beings, vegetables, or cosmic dust, we all dance to a mysterious tune, intoned in the distance by an invisible piper.",Albert Einstein,"destiny, einstein, inspirational"
It is harder to crack prejudice than an atom.,Albert Einstein,"humor, inspirational, science"
Small is the number of them that see with their own eyes and feel with their own hearts.,Albert Einstein,"heart, inspirational"
